question,A,B,C,D,answer
"### Question 1
What does in-context learning in Large Language Models involve?",Training the model using reinforcement learning,Conditioning the model with task-specific instructions or demonstrations,Pretraining the model on a specific domain,Adding more layers to the model,B
"### Question 2
What is prompt engineering in the context of Large Language Models (LLMs)?",Iteratively refining the ask to elicit a desired response,Adding more layers to the neural network,Adjusting the hyperparameters of the model,Training the model on a large dataset,A
"### Question 3
What does the term ""hallucination"" refer to in the context of Large Language Models (LLMs)?",The phenomenon where the model generates factually incorrect information or unrelated content as if it were true,A technique used to enhance the model's performance on specific tasks,The model's ability to generate imaginative and creative content,The process by which the model visualizes and describes images in detail,A
"### Question 4
Which statement accurately reflects the differences between these approaches in terms of the number of parameters modified and type of data used?","Fine-tuning modifies all parameters using labeled, task-specific data, while Parameter Efficient Fine-Tuning updates a few, new parameters also with labeled, task-specific data.","Fine-tuning and Continuous Pretraining both modify all parameters and use labeled, task-specific data.",Parameter Efficient Fine-Tuning and Soft Prompting modify all parameters of the model using unlabeled data.,Soft Prompting and Continuous Pretraining are both methods that require no modification to the original parameters of the model.,A
"### Question 5
What is the role of temperature in the decoding process of an LLM?",To adjust the sharpness of the probability distribution over the vocabulary when selecting the next word,To decide which part of speech the next word should belong to,To increase the accuracy of the most likely word in the vocabulary,To determine the number of words to generate in a single decoding step,A
"### Question 6
What happens if a period (.) is used as a stop sequence in text generation?",The model stops generating text after it reaches the end of the current paragraph.,The model ignores periods and continues generating text until it reaches the token limit.,"The model stops generating text once it reaches the end of the first sentence, even if the token limit is much higher.",The model generates additional sentences to complete the paragraph.,C
"### Question 7
What is the purpose of embeddings in natural language processing?",To translate text into a different language,To compress text data into smaller files for storage,To create numerical representations of text that capture the meaning and relationships between words or phrases,To increase the complexity and size of text data,C
"### Question 8
What is the purpose of frequency penalties in language model outputs?",To ensure tokens that appear frequently are used more often,"To penalize tokens that have already appeared, based on the number of times they've been used",To randomly penalize some tokens to increase the diversity of the text,To reward the tokens that have never appeared in the text,B
"### Question 9
What is the main advantage of using few-shot model prompting to customize a Large Language Model (LLM)?",It eliminates the need for any training or computational resources.,It allows the LLM to access a larger dataset.,It provides examples in the prompt to guide the LLM to better performance with no training cost.,It significantly reduces the latency for each model request.,C
"### Question 10
What is a distinctive feature of GPUs in Dedicated AI Clusters used for generative AI tasks?",GPUs allocated for a customer's generative AI tasks are isolated from other GPUs.,Each customer's GPUs are connected via a public internet network for ease of access.,GPUs are shared with other customers to maximize resource utilization.,"GPUs are used exclusively for storing large datasets, not for computation.",A
"### Question 11
What is a key characteristic of Large Language Models (LLMs) without Retrieval Augmented Generation (RAG)?",They always use an external database for generating responses.,They use vector databases exclusively to produce answers.,They rely on internal knowledge learned during pretraining on a large text corpus.,They cannot generate responses without Fine-Tuning.,C
"### Question 12
What is the purpose of memory in the LangChain framework?",To act as a static database for storing permanent records,To perform complex calculations unrelated to user interaction,To retrieve user input and provide real-time output only,To store various types of data and provide algorithms for summarizing past interactions,D
"### Question 13
How are prompt templates typically designed for language models?",To only work with numerical data instead of textual content,To be used without any modification or customization,As predefined recipes that guide the generation of language model prompts,As complex algorithms that require manual compilation,C
"### Question 14
What differentiates semantic search from traditional keyword search?",It is based on the date and author of the content.,It relies solely on matching exact keywords in the content.,It depends on the number of times keywords appear in the content.,It involves understanding the intent and context of the search.,D
"### Question 15
What is the LCEL in the context of LangChain chains?",A programming language used to write documentation for LangChain,An older Python library for building Large Language Models,A legacy method for creating chains in LangChain,A declarative way to compose chains together using LangChain Expression Language,D
"### Question 16
What happens when you restart a previously run ingestion job in OCI Generative AI Agents?",Only new files added to the bucket are ingested.,"All files are re-ingested, regardless of previous success.",The entire process stops if a single file fails.,Only files that failed in the earlier attempt and have since been updated are ingested.,D
"### Question 17
What is the maximum number of endpoints you can create per agent by default in OCI Generative AI Agents?",2,3,1,5,B
"### Question 18
In the context of OCI Generative AI Agents, what does ""Groundedness"" mean?",The model's ability to maintain a continuous conversation context,The model's ability to generate responses that can be traced back to data sources,The model's reliance on human feedback to improve its training,The model's focus on generating creative responses grounded in imagination,B
"### Question 19
Which field is optional when setting up the Oracle Database 23ai table for Generative AI Agents?",DOCID,VECTOR,BODY,TITLE,D
"### Question 20
What is the best practice to handle a data source in OCI Generative AI Agents if your data is not ready yet?",Upload placeholder files larger than 100 MB as a temporary solution.,Leave the data source configuration incomplete until the data is ready.,Use multiple buckets to store the incomplete data.,Create an empty folder for the data source and populate it later.,D
"### Question 21
How does the temperature setting in a decoding algorithm influence the probability distribution over the vocabulary?",Increasing temperature removes the impact of the most likely word.,"Decreasing temperature broadens the distribution, making less likely words more probable.","Increasing temperature flattens the distribution, allowing for more varied word choices.",Temperature has no effect on the probability distribution; it only changes the speed of decoding.,C
"### Question 22
What is the characteristic of T-Few fine-tuning for Large Language Models (LLMs)?",It updates all the weights of the model uniformly.,It selectively updates only a fraction of weights to reduce the number of parameters.,It selectively updates only a fraction of weights to reduce computational load and avoid overfitting.,It increases the training time as compared to Vanilla fine-tuning.,C
"### Question 23
In the context of generating text with a Large Language Model (LLM), what does the process of greedy decoding entail?",Using a weighted random selection based on a modulated distribution,Choosing the word with the highest probability at each step of decoding,Picking a word based on its position in a sentence structure,Selecting a random word from the entire vocabulary at each step,B
"### Question 24
When is fine-tuning an appropriate method for customizing an LLM?",When the LLM already understands the topics necessary for text generation,When the LLM does not perform well on a particular task and the data required to adapt the LLM is too large for prompt engineering,When the LLM requires access to the latest data for generating outputs,When you want to optimize the model without any instructions,B
"### Question 25
Which statement is true about RAG?",It is primarily parametric and requires a different model for each corpus.,It is non-parametric and can theoretically answer questions about any corpus.,It is solely used in QA-based scenarios.,It is not suitable for fact-checking because of high hallucination occurrences.,B
"### Question 26
In the context of RAG, how might the concept of Groundedness differ from that of Answer Relevance?","Groundedness pertains to factual correctness, while Answer Relevance concerns query relevance.","Groundedness refers to contextual alignment, while Answer Relevance deals with syntactic accuracy.","Groundedness measures relevance to the user query, while Answer Relevance evaluates data integrity.","Groundedness focuses on data integrity, while Answer Relevance emphasizes lexical diversity.",A
"### Question 27
What is the model behavior if you don't provide a value for the seed parameter?",The model generates responses deterministically.,The model gives diverse responses.,The model assigns a default seed value of 9999.,The model restricts the maximum number of tokens that can be generated.,B
"### Question 28
Which phase of the RAG pipeline includes loading, splitting, and embedding of documents?",Retrieval,Generation,Ingestion,Evaluation,C
"### Question 29
How many numerical values are generated for each input phrase when using the cohere.embed-english-light-v3.0 embedding model?",256,1024,384,512,C
"### Question 30
Which of these does NOT apply when preparing PDF files for OCI Generative AI Agents?",Charts must be two-dimensional with labeled axes.,Reference tables must be formatted with rows and columns.,PDF files can include images and charts.,Hyperlinks in PDFs are excluded from chat responses.,D
"### Question 31
What must be done before you can delete a knowledge base in Generative AI Agents?",Disconnect the database tool connection.,Reassign the knowledge base to a different agent.,Delete the data sources and agents using that knowledge base.,Archive the knowledge base for future use.,C
"### Question 32
A startup is using Oracle Generative AI's on-demand inferencing for a chatbot. The chatbot processes user queries and generates responses dynamically. One user enters a 200-character prompt, and the model generates a 500-character response.
How many transactions will be billed for this inference call?",200 transactions,500 transactions,700 transactions,"1 transaction per API call, regardless of length",C
"### Question 33
When activating content moderation in OCI Generative AI Agents, which of these can you specify?","Whether moderation applies to user prompts, generated responses, or both",The threshold for language complexity in responses,The maximum file size for input data,The type of vector search used for retrieval,A
"### Question 34
A data science team is fine-tuning multiple models using the Oracle Generative AI service. They select the cohere.command-r-08-2024 base model and fine-tune it on three different datasets for three separate tasks. They plan to use the same fine-tuning AI cluster for all models.
What is the total number of units provisioned for the cluster?",6,2,8,1,C
"### Question 35
In the simplified workflow for managing and querying vector data, what is the role of indexing?",Converting vectors into a non-indexed format for easier retrieval,"Mapping vectors to a data structure for faster searching, enabling efficient retrieval",Compressing vector data for minimized storage usage,"Categorizing vectors based on their originating data type (text, images, audio)",B
"### Question 36
In which phase of the RAG pipeline are additional context and user query used by LLMs to respond to the user?",Retrieval,Ingestion,Evaluation,Generation,D
"### Question 37
In which scenario is soft prompting more appropriate compared to other training styles?","When there is a significant amount of labeled, task-specific data available",When the model needs to be adapted to perform well in a domain it was not originally trained on,When there is a need to add learnable parameters to a LLM without task-specific training,When the model requires continued pretraining on unlabeled data,C
"### Question 38
A company is using a Generative AI model to assist customer support agents by answering product-related queries.
Upon review of this response, the company notes that blood sugar tracking and solar charging are not actual features of their smart watch. These details were not part of the company's product documentation or database.
What is the most likely cause of this model behavior?","The model is overfitting to specific details from unrelated training data, causing inaccuracies.","The model was unable to access the company's database, so it defaulted to guessing feature sets based on similar products.","The model encountered a prompt that was too ambiguous, leading to random outputs.","The model is hallucinating, confidently generating responses that are not grounded in factual or provided data.",D
"### Question 39
They notice that the responses vary each time they run the model, despite keeping the prompt and other parameters the same.
Which parameter should they modify to ensure identical outputs for the same input?",temperature,frequency_penalty,top_p,seed,D
"### Question 40
When does a chain typically interact with memory in a run within the LangChain framework?",Only after the output has been generated,Before user input and after chain execution,"After user input but before chain execution, and again after core logic but before output",Continuously throughout the entire chain execution process,C
"### Question 41
Which of these is NOT a supported knowledge base data type for OCI Generative AI Agents?",OCI Object Storage files with text and PDFs,Custom-built file systems,OCI Search with OpenSearch,Oracle Database 23ai vector search,B
"### Question 42
How does the temperature setting in a decoding algorithm influence the probability distribution over the vocabulary?",Increasing temperature removes the impact of the most likely word.,"Decreasing temperature broadens the distribution, making less likely words more probable.","Increasing temperature flattens the distribution, allowing for more varied word choices.",Temperature has no effect on the probability distribution; it only changes the speed of decoding.,C
"### Question 43
Which fine-tuning methods are supported by the cohere.command-r-08-2024 model in OCI Generative AI?",T-Few and LoRA,T-Few and Vanilla,LoRA and Vanilla,"T-Few, LoRA, and Vanilla",A
"### Question 44
What does a cosine distance of 0 indicate about the relationship between two embeddings?",They are completely dissimilar.,They are unrelated.,They are similar in direction.,They have the same magnitude.,C
"### Question 45
Which statement is true about the ""Top p"" parameter of OCI Generative AI chat models?","""Top p"" limits token selection based on the sum of their probabilities.","""Top p"" selects tokens from the ""top k"" tokens sorted by probability.","""Top p"" determines the maximum number of tokens per response.","""Top p"" assigns penalties to frequently occurring tokens.",A
"### Question 46
A company is using a model in the OCI Generative AI service for text summarization. They receive a notification stating that the model has been deprecated. What action should the company take to ensure continuity in their application?",The company must immediately stop using the model because it is no longer available and start using the newer model.,The company can continue using the model but should start planning to migrate to another model before it is retired.,The company should ignore the notification as deprecated models remain available indefinitely.,The company can request an extension to continue using the model after it is retired.,B
"### Question 47
You are hosting a dedicated AI cluster using the OCI Generative AI service. You need to employ maximum number of endpoints due to high workload. How many dedicated AI clusters will you require to host at least 60 endpoints?",3,1,2,5,C
"### Question 48
How does a presence penalty function when using OCI Generative AI chat models?","It penalizes all tokens equally, regardless of how often they have appeared.",It only penalizes tokens that have never appeared in the text before.,It applies a penalty only if the token has appeared more than twice.,It penalizes a token each time it appears after the first occurrence.,D
"### Question 49
What happens to chat data and retrieved context after the session ends in OCI Generative AI Agents?",They are stored for training the Large Language Models (LLMs).,They are permanently deleted and not retained.,"They are stored in isolation for future customer usage, ensuring maximum security but not used for training.",They are archived for audit purposes.,B
"### Question 50
What does accuracy measure in the context of fine-tuning results for a generative model?","The number of predictions a model makes, regardless of whether they are correct or incorrect",The proportion of incorrect predictions made by the model during an evaluation,How many predictions the model made correctly out of all the predictions in an evaluation,The depth of the neural network layers used in the model,C
"### Question 51
Which statement regarding fine-tuning and Parameter-Efficient Fine-Tuning (PEFT) is correct?","Fine-tuning requires training the entire model on new data, often leading to substantial computational costs, whereas PEFT involves updating only a small subset of parameters, minimizing computational requirements and data needs.","PEFT requires replacing the entire model architecture with a new one designed specifically for the new task, making it significantly more data-intensive than fine-tuning.","Both fine-tuning and PEFT require the model to be trained from scratch on new data, making them equally data and computationally intensive.","Fine-tuning and PEFT do not involve model modification; they differ only in the type of data used for training, with fine-tuning requiring labeled data and PEFT utilizing unlabeled data.",A
